Ventas ,,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,34,40,36,27,0,27,41,40,42,34,38,30,41,41,35,,,,,
SUMAFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,7,0.0034129692832764505,,,
BAJIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00048756704046806434,,,
KUNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,9,0.004388103364212579,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motivos de SDC No autorizadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio, 26",Total,,,,
Mal Buro,,,,,,,,,,,,,,,,,22,17,27,31,40,54,26,27,33,19,15,12,12,22,,311,,,,
Score bajo,,,,,,,,,,,,,,,,,3,3,5,12,8,6,4,7,5,3,10,4,10,4,,66,,,,
Capacidad de pago ,,,,,,,,,,,,,,,,,,2,,,1,5,4,,0,2,3,,6,6,,17,,,,
Otros,,,,,,,,,,,,,,,,,,1,1,,,,2,,0,1,2,,1,1,,7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motivos de SDC No formaliadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio, 26",Total,,,,
Compra en otro lado,,,,,,,,,,,,,,,,,4,5,3,5,5,10,6,0,4,1,1,2,2,2,,44,,,,
Falta importe para enganche,,,,,,,,,,,,,,,,,,,,,1,2,2,1,0,0,0,3,1,2,,6,,,,
Espera comprar en futuro,,,,,,,,,,,,,,,,,4,1,1,,1,8,4,3,9,6,4,10,1,7,,41,,,,
Otros,,,,,,,,,,,,,,,,,3,4,6,,4,5,0,3,0,5,11,3,9,5,,41,,,,
